ConceptID,ConceptLabel,Dependencies,TaxonomyID
1,Software Engineering Leader,,FOUND
2,Engineering Organization,1,FOUND
3,Technical Leadership,1,FOUND
4,People Management,1,FOUND
5,Engineering Strategy,1|2|3,FOUND
6,Technology Landscape,1,FOUND
7,Cloud Computing,6,CLOUD
8,Infrastructure as Code,7,CLOUD
9,Kubernetes,7|10,CLOUD
10,Container Orchestration,7,CLOUD
11,Docker Containers,10,CLOUD
12,Multi-Cloud Strategy,7|14|15|16,CLOUD
13,Hybrid Cloud,7|12,CLOUD
14,AWS,7,CLOUD
15,Azure,7,CLOUD
16,Google Cloud Platform,7,CLOUD
17,Terraform,8,CLOUD
18,Pulumi,8,CLOUD
19,CloudFormation,8|14,CLOUD
20,Edge Computing,7,CLOUD
21,Serverless Architecture,7,CLOUD
22,AWS Lambda,21|14,CLOUD
23,Azure Functions,21|15,CLOUD
24,Cold Start Problem,21,CLOUD
25,Large Language Models,6,AIML
26,GPT Models,25,AIML
27,Claude AI,25,AIML
28,AI-Assisted Development,25|29,AIML
29,GitHub Copilot,25,AIML
30,Code Generation,25|28,AIML
31,MLOps,25|32,AIML
32,ML Pipelines,25,AIML
33,Model Versioning,31,AIML
34,Feature Stores,31,AIML
35,Model Monitoring,31|51,AIML
36,Real-Time Data Streaming,6|40,AIML
37,Apache Kafka,36,AIML
38,Apache Pulsar,36,AIML
39,Apache Flink,36,AIML
40,Event-Driven Architecture,6,AIML
41,Vector Databases,25|43,AIML
42,Pinecone,41,AIML
43,Semantic Search,25,AIML
44,RAG Architecture,25|41|43,AIML
45,Platform Engineering,6|48,DEVEX
46,Internal Developer Platform,45,DEVEX
47,Backstage,46,DEVEX
48,Developer Experience,1|6,DEVEX
49,Cognitive Load,48,DEVEX
50,Developer Onboarding,48|46,DEVEX
51,Observability,6,DEVEX
52,OpenTelemetry,51,DEVEX
53,Distributed Tracing,51|52,DEVEX
54,Metrics Collection,51,DEVEX
55,Log Aggregation,51,DEVEX
56,Datadog,51,DEVEX
57,Grafana,51|54,DEVEX
58,Honeycomb,51|53,DEVEX
59,Feature Flags,6|60,DEVEX
60,Progressive Delivery,6,DEVEX
61,LaunchDarkly,59,DEVEX
62,Controlled Rollouts,59|60,DEVEX
63,API Management,6,DEVEX
64,GraphQL Federation,63,DEVEX
65,API Gateway,63,DEVEX
66,OpenAPI Specification,63,DEVEX
67,Security Automation,6|72,DEVEX
68,SAST Tools,67,DEVEX
69,DAST Tools,67,DEVEX
70,Dependency Scanning,67,DEVEX
71,Secrets Management,67,DEVEX
72,Shift Left Security,6,DEVEX
73,Team Topologies,2|4,TEAM
74,Stream-Aligned Teams,73,TEAM
75,Platform Teams,73|45,TEAM
76,Enabling Teams,73,TEAM
77,Complicated Subsystem Teams,73,TEAM
78,High-Performance Teams,73|79,TEAM
79,Team Dynamics,4|73,TEAM
80,Structured Interviewing,4|81,TEAM
81,Interview Rubrics,4,TEAM
82,Bias Reduction,80|81,TEAM
83,Career Ladders,4|84|85,TEAM
84,IC Track,3,TEAM
85,Management Track,4,TEAM
86,Skills Gap Analysis,4|83,TEAM
87,Retention Strategies,4|88,TEAM
88,Compensation Strategy,4,TEAM
89,Psychological Safety,4|79,CULT
90,Trust Building,89,CULT
91,Vulnerability in Teams,89|90,CULT
92,Productive Conflict,89,CULT
93,Healthy Debate,89|92,CULT
94,Toxic Behavior Management,4|89,CULT
95,Remote Team Leadership,4|96,CULT
96,Distributed Teams,4,CULT
97,Asynchronous Communication,96,CULT
98,Documentation Culture,96|97,CULT
99,Time Zone Management,96,CULT
100,Virtual Collaboration,96|97,CULT
101,Code Quality,3|102,PRACT
102,Code Review Process,3,PRACT
103,Review Time SLAs,102,PRACT
104,Automated Quality Gates,101|105|106,PRACT
105,Linting,101,PRACT
106,Static Analysis,101,PRACT
107,Technical Debt,101|108,PRACT
108,Debt Identification,101,PRACT
109,Debt Prioritization,107|108,PRACT
110,Architecture Decision Records,3|111,PRACT
111,ADR Process,3,PRACT
112,Unit Testing,101|113,PRACT
113,Test Coverage,101,PRACT
114,Integration Testing,112|115,PRACT
115,Contract Testing,112,PRACT
116,End-to-End Testing,114,PRACT
117,Performance Testing,101|118,PRACT
118,Chaos Engineering,117|119,PRACT
119,Resilience Testing,117,PRACT
120,Continuous Integration,101|121,PRACT
121,Continuous Delivery,120,PRACT
